normalized_street,normalized_cross,street,cross,query,status,match_count,matching_intersection_full,lng,lat,request_ms,attempts,http_status,error,fetched_at
a street,binford street,A St,Binford St,A St and Binford St,ok,1,"A St & Binford St, South Boston Waterfront, MA 02210",-71.051139000001,42.346944000003,1018,1,200,,2026-06-04T17:51:30.390Z
a street,congress street,A St,Congress St,A St and Congress St,ok,1,"A St & Congress St, South Boston Waterfront, MA 02210",-71.048466000001,42.350373000003,371,1,200,,2026-06-04T17:51:30.939Z
a street,melcher street,A St,Melcher St,A St and Melcher St,ok,1,"A St & Melcher St, South Boston Waterfront, MA 02210",-71.049478500001,42.349086000003,398,1,200,,2026-06-04T17:51:32.169Z
abbot street,blue hill avenue,Abbot St,Blue Hill Ave,Abbot St and Blue Hill Ave,ok,1,"Abbot St & Blue Hill Ave, Dorchester, MA 02124",-71.086977000001,42.297687000003,347,1,200,,2026-06-04T17:51:33.318Z
abbot street,harvard avenue,Abbot St,Harvard Ave,Abbot St and Harvard Ave,ok,1,"Abbot St & Harvard St, Dorchester, MA 02124",-71.085388500001,42.295698000003,386,1,200,,2026-06-04T17:51:34.560Z
abbotsford street,harold street,Abbotsford St,Harold St,Abbotsford St and Harold St,ok,1,"Abbotsford St & Harold St, Roxbury, MA 02121",-71.091540000001,42.314274000003,491,1,200,,2026-06-04T17:51:35.867Z
abbotsford street,walnut avenue,Abbotsford St,Walnut Ave,Abbotsford St and Walnut Ave,ok,1,"Abbotsford St & Walnut Ave, Roxbury, MA 02119",-71.093709000001,42.314958000003,324,1,200,,2026-06-04T17:51:36.900Z
aberdeen street,beacon street,Aberdeen St,Beacon St,Aberdeen St and Beacon St,ok,1,"Aberdeen St & Beacon St, Fenway, MA 02215",-71.104122000001,42.346953000003,299,1,200,,2026-06-04T17:51:38.078Z
acadia street,east first street,Acadia St,East First St,Acadia St and East First St,ok,1,"Acadia St & E First St, South Boston, MA 02127",-71.030007000001,42.338250000003,306,1,200,,2026-06-04T17:51:39.287Z
acadia street,east second street,Acadia St,East Second St,Acadia St and East Second St,ok,1,"Acadia St & E Second St, South Boston, MA 02127",-71.029975500001,42.337422000003,275,1,200,,2026-06-04T17:51:40.457Z
ackley place,washington street,Ackley Pl,Washington St,Ackley Pl and Washington St,ok,1,"Ackley Pl & Washington St, Jamaica Plain, MA 02130",-71.103073500001,42.310962000003,332,1,200,,2026-06-04T17:51:41.714Z
adams street,bowdoin street,Adams St,Bowdoin St,Adams St and Bowdoin St,ok,2,"Adams St & Bowdoin St, Dorchester, MA 02122",-71.064252000001,42.308820000003,322,1,200,,2026-06-04T17:51:42.904Z
adams street,dorchester avenue,Adams St,Dorchester Ave,Adams St and Dorchester Ave,ok,2,"Adams St & Dorchester Ave, Dorchester, MA 02122",-71.059806000001,42.301512000003,665,1,200,,2026-06-04T17:51:44.449Z
adams street,eustis street,Adams St,Eustis St,Adams St and Eustis St,ok,1,"Adams St & Eustis St, Roxbury, MA 02119",-71.076825000001,42.328296000003,353,1,200,,2026-06-04T17:51:45.337Z
adams street,forest street,Adams St,Forest St,Adams St and Forest St,ok,1,"Adams St & Forest St, Roxbury, MA 02119",-71.078211000001,42.327126000003,389,1,200,,2026-06-04T17:51:46.575Z
adams street,leedsville street,Adams St,Leedsville St,Adams St and Leedsville St,ok,1,"Adams St & Leedsville St, Dorchester, MA 02122",-71.061169500001,42.304581000003,345,1,200,,2026-06-04T17:51:47.732Z
adams street,lowney way,Adams St,Lowney Way,Adams St and Lowney Way,ok,1,"Adams St & Lowney Way, Charlestown, MA 02129",-71.058037500001,42.374403000003,362,1,200,,2026-06-04T17:51:48.950Z
adams street,park street,Adams St,Park St,Adams St and Park St,ok,1,"Adams St & Park St, Dorchester, MA 02122",-71.058141000001,42.299334000003,335,1,200,,2026-06-04T17:51:50.123Z
adams street,winthrop street,Adams St,Winthrop St,Adams St and Winthrop St,ok,1,"Adams St & Winthrop St, Charlestown, MA 02129",-71.060215500001,42.374790000003,324,1,200,,2026-06-04T17:51:51.313Z
addison street,saratoga street,Addison St,Saratoga St,Addison St and Saratoga St,ok,1,"Addison St & Saratoga St, East Boston, MA 02128",-71.014482000001,42.384780000003,287,1,200,,2026-06-04T17:51:52.475Z
addison street,william f. mcclellan highway,Addison St,William F. McClellan Hwy,Addison St and William F. McClellan Hwy,ok,1,"Addison St & William F McClellan Hwy, East Boston, MA 02128",-71.019328500001,42.386067000003,320,1,200,,2026-06-04T17:51:53.709Z
aguadilla street,tremont street,Aguadilla St,Tremont St,Aguadilla St and Tremont St,ok,2,"Aguadilla St & Tremont St, South End, MA 02118",-71.075938500001,42.341670000003,406,1,200,,2026-06-04T17:51:54.997Z
akron street,alpine street,Akron St,Alpine St,Akron St and Alpine St,ok,1,"Akron St & Alpine St, Roxbury, MA 02119",-71.086522500001,42.326046000003,288,1,200,,2026-06-04T17:51:56.080Z
akron street,regent street,Akron St,Regent St,Akron St and Regent St,ok,1,"Akron St & Regent St, Roxbury, MA 02119",-71.084484000001,42.325353000003,476,1,200,,2026-06-04T17:51:57.468Z
alaska street,blue hill avenue,Alaska St,Blue Hill Ave,Alaska St and Blue Hill Ave,ok,1,"Alaska St & Blue Hill Ave, Roxbury, MA 02119",-71.077729500001,42.320628000003,372,1,200,,2026-06-04T17:51:58.565Z
alaska street,perrin street,Alaska St,Perrin St,Alaska St and Perrin St,ok,1,"Alaska St & Perrin St, Roxbury, MA 02119",-71.079583500001,42.321483000003,353,1,200,,2026-06-04T17:51:59.748Z
albany street,hampden street,Albany St,Hampden St,Albany St and Hampden St,ok,1,"Albany St & Hampden St, Roxbury, MA 02119",-71.075646000001,42.332022000003,270,1,200,,2026-06-04T17:52:00.866Z
albany street,herald street,Albany St,Herald St,Albany St and Herald St,ok,1,"Albany St & Herald St, South End, MA 02118",-71.061286500001,42.345954000003,359,1,200,,2026-06-04T17:52:02.154Z
albany street,massachusetts avenue,Albany St,Massachusetts Ave,Albany St and Massachusetts Ave,ok,1,"Albany St & Massachusetts Ave, Roxbury, MA 02118",-71.073468000001,42.333561000003,277,1,200,,2026-06-04T17:52:03.273Z
albany street,melnea cass boulevard,Albany St,Melnea Cass Blvd,Albany St and Melnea Cass Blvd,ok,1,"Albany St & Melnea Cass Blvd, Roxbury, MA 02119",-71.077009500001,42.331185000003,915,1,200,,2026-06-04T17:52:05.112Z
albany street,randolph street,Albany St,Randolph St,Albany St and Randolph St,ok,1,"Albany St & Randolph St, South End, MA 02118",-71.063532000001,42.340977000003,350,1,200,,2026-06-04T17:52:05.748Z
albemarle street,street botolph street,Albemarle St,St Botolph St,Albemarle St and St Botolph St,ok,1,"Albemarle St & Saint Botolph St, Back Bay, MA 02115",-71.083467000001,42.342696000003,641,1,200,,2026-06-04T17:52:07.242Z
albion place,auburn square,Albion Pl,Auburn Sq,Albion Pl and Auburn Sq,ok,1,"Albion Pl & Auburn Sq, Charlestown, MA 02129",-71.069492250001,42.381531000003,344,1,200,,2026-06-04T17:52:08.147Z
albion place,main street,Albion Pl,Main St,Albion Pl and Main St,ok,1,"Albion Pl & Main St, Charlestown, MA 02129",-71.070448500001,42.380793000003,359,1,200,,2026-06-04T17:52:09.362Z
albion street,clifton street,Albion St,Clifton St,Albion St and Clifton St,ok,1,"Albion St & Clifton St, Roxbury, MA 02119",-71.070489000001,42.322311000003,286,1,200,,2026-06-04T17:52:10.489Z
albion street,dudley street,Albion St,Dudley St,Albion St and Dudley St,ok,1,"Albion St & Dudley St, Roxbury, MA 02119",-71.072347500001,42.321843000003,336,1,200,,2026-06-04T17:52:11.741Z
alcorn street,ashford street,Alcorn St,Ashford St,Alcorn St and Ashford St,ok,1,"Alcorn St & Ashford St, Allston, MA 02215",-71.122770000001,42.354054000003,358,1,200,,2026-06-04T17:52:12.963Z
alcorn street,commonwealth avenue,Alcorn St,Commonwealth Ave,Alcorn St and Commonwealth Ave,ok,1,"Alcorn St & Commonwealth Ave, Allston, MA 02134",-71.123193000001,42.352119000003,304,1,200,,2026-06-04T17:52:14.109Z
aldwin road,brookway road,Aldwin Rd,Brookway Rd,Aldwin Rd and Brookway Rd,ok,1,"Aldwin Rd & Brookway Rd, Roslindale, MA 02131",-71.118819000001,42.294276000003,347,1,200,,2026-06-04T17:52:15.353Z
aldwin road,washington street,Aldwin Rd,Washington St,Aldwin Rd and Washington St,ok,1,"Aldwin Rd & Washington St, Jamaica Plain, MA 02131",-71.119431000001,42.294627000003,308,1,200,,2026-06-04T17:52:16.513Z
alexander street,dudley street,Alexander St,Dudley St,Alexander St and Dudley St,ok,1,"Alexander St & Dudley St, Dorchester, MA 02125",-71.069085000001,42.318738000003,334,1,200,,2026-06-04T17:52:17.740Z
alexander street,wayland street,Alexander St,Wayland St,Alexander St and Wayland St,no_match,0,,,,142,1,200,,2026-06-04T17:52:18.749Z
alford street,cambridge street,Alford St,Cambridge St,Alford St and Cambridge St,ok,1,"Alford St & Cambridge St, Charlestown, MA 02129",-71.074260000001,42.384042000003,365,1,200,,2026-06-04T17:52:20.173Z
alford street,everett town line,Alford St,EVERETT TOWN LINE,Alford St and EVERETT TOWN LINE,no_match,0,,,,127,1,200,,2026-06-04T17:52:21.137Z
algonquin street,harvard street,Algonquin St,Harvard Street,Algonquin St and Harvard Street,ok,1,"Algonquin St & Harvard St, Dorchester, MA 02124",-71.076127500001,42.297633000003,394,1,200,,2026-06-04T17:52:22.605Z
algonquin street,washington street,Algonquin St,Washington Street,Algonquin St and Washington Street,ok,1,"Algonquin St & Washington St, Dorchester, MA 02124",-71.072730000001,42.297876000003,369,1,200,,2026-06-04T17:52:23.782Z
alleghany street,terrace street,Alleghany St,Terrace St,Alleghany St and Terrace St,ok,1,"Alleghany St & Terrace St, Mission Hill, MA 02120",-71.097471000001,42.329655000003,476,1,200,,2026-06-04T17:52:25.090Z
allston street,brighton avenue,Allston St,Brighton Ave,Allston St and Brighton Ave,ok,1,"Allston St & Brighton Ave, Allston, MA 02134",-71.134443000001,42.353235000003,360,1,200,,2026-06-04T17:52:26.173Z
allston street,bunker hill street,Allston St,Bunker Hill St,Allston St and Bunker Hill St,ok,1,"Allston St & Bunker Hill St, Charlestown, MA 02129",-71.064058500001,42.379668000003,344,1,200,,2026-06-04T17:52:27.359Z
allston street,centre street,Allston St,Centre St,Allston St and Centre St,ok,1,"Allston St & Centre St, Dorchester, MA 02124",-71.066713500001,42.291702000003,349,1,200,,2026-06-04T17:52:28.565Z
allston street,commonwealth avenue,Allston St,Commonwealth Ave,Allston St and Commonwealth Ave,ok,2,"Allston St & Commonwealth Ave, Allston, MA 02135",-71.137795500001,42.348330000003,333,1,200,,2026-06-04T17:52:29.751Z
allston street,medford street,Allston St,Medford St,Allston St and Medford St,ok,1,"Allston St & Medford St, Charlestown, MA 02129",-71.062848000001,42.381324000003,347,1,200,,2026-06-04T17:52:30.967Z
allston street,melville avenue,Allston St,Melville Ave,Allston St and Melville Ave,ok,1,"Allston St & Melville Ave, Dorchester, MA 02124",-71.067640500001,42.294447000003,288,1,200,,2026-06-04T17:52:32.108Z
allston street,washington street,Allston St,Washington St,Allston St and Washington St,ok,1,"Allston St & Washington St, Brighton, MA 02135",-71.141922000001,42.343200000003,354,1,200,,2026-06-04T17:52:33.376Z
almont street,blue hill avenue,Almont St,Blue Hill Ave,Almont St and Blue Hill Ave,ok,1,"Almont St & Blue Hill Ave, Mattapan, MA 02126",-71.093650500001,42.274314000003,331,1,200,,2026-06-04T17:52:34.555Z
almont street,walk hill street,Almont St,Walk Hill St,Almont St and Walk Hill St,ok,1,"Almont St & Walk Hill St, Mattapan, MA 02126",-71.097948000001,42.281280000003,378,1,200,,2026-06-04T17:52:35.802Z
alpha road,park street,Alpha Rd,Park St,Alpha Rd and Park St,ok,1,"Alpha Rd & Park St, Dorchester, MA 02124",-71.070268500001,42.295986000003,360,1,200,,2026-06-04T17:52:36.985Z
alpha road,waldeck street,Alpha Rd,Waldeck St,Alpha Rd and Waldeck St,ok,1,"Alpha Rd & Waldeck St, Dorchester, MA 02124",-71.067159000001,42.296256000003,360,1,200,,2026-06-04T17:52:38.188Z
alpine street,regent street,Alpine St,Regent St,Alpine St and Regent St,ok,1,"Alpine St & Regent St, Roxbury, MA 02119",-71.085406500001,42.324894000003,367,1,200,,2026-06-04T17:52:39.396Z
alpine street,street james street,Alpine St,St James St,Alpine St and St James St,ok,1,"Alpine St & Saint James St, Roxbury, MA 02119",-71.086063500001,42.326829000003,348,1,200,,2026-06-04T17:52:40.578Z
american legion highway,blue hill avenue,American Legion Hwy,Blue Hill Ave,American Legion Hwy and Blue Hill Ave,ok,2,"American Legion Hwy & Blue Hill Ave, Roxbury, MA 02124",-71.086999500001,42.298245000003,341,1,200,,2026-06-04T17:52:41.773Z
american legion highway,cummins highway,American Legion Hwy,Cummins Hwy,American Legion Hwy and Cummins Hwy,ok,4,"American Legion Hwy & Cummins Hwy, Roslindale, MA 02131",-71.116798500001,42.279075000003,430,1,200,,2026-06-04T17:52:43.064Z
american legion highway,franklin hill avenue,American Legion Hwy,Franklin Hill Ave,American Legion Hwy and Franklin Hill Ave,ok,1,"American Legion Hwy & Franklin Hill Ave, Roxbury, MA 02124",-71.092354500001,42.295968000003,352,1,200,,2026-06-04T17:52:44.183Z
american legion highway,hyde park avenue,American Legion Hwy,Hyde Park Ave,American Legion Hwy and Hyde Park Ave,ok,1,"American Legion Hwy & Hyde Park Ave, Roslindale, MA 02136",-71.120209500001,42.272559000003,389,1,200,,2026-06-04T17:52:45.423Z
ames street,westview street,Ames St,Westview St,Ames St and Westview St,ok,1,"Ames St & Westview St, Dorchester, MA 02124",-71.086504500001,42.290748000003,348,1,200,,2026-06-04T17:52:46.583Z
amory street,boylston street,Amory St,Boylston St,Amory St and Boylston St,ok,1,"Amory St & Boylston St, Jamaica Plain, MA 02130",-71.103118500001,42.316605000003,317,1,200,,2026-06-04T17:52:47.751Z
amory street,dimock street,Amory St,Dimock St,Amory St and Dimock St,ok,1,"Amory St & Dimock St, Jamaica Plain, MA 02119",-71.099500500001,42.319773000003,277,1,200,,2026-06-04T17:52:48.913Z
amory street,school street,Amory St,School St,Amory St and School St,ok,1,"Amory St & School St, Jamaica Plain, MA 02130",-71.101804500001,42.317721000003,575,1,200,,2026-06-04T17:52:50.412Z
amory street,williams street,Amory St,Williams St,Amory St and Williams St,ok,1,"Amory St & Williams St, Jamaica Plain, MA 02130",-71.109085500001,42.307407000003,321,1,200,,2026-06-04T17:52:51.360Z
anderson street,cambridge street,Anderson St,Cambridge St,Anderson St and Cambridge St,ok,1,"Anderson St & Cambridge St, Beacon Hill, MA 02114",-71.067852000001,42.361110000003,304,1,200,,2026-06-04T17:52:52.544Z
anderson street,myrtle street,Anderson St,Myrtle St,Anderson St and Myrtle St,ok,1,"Anderson St & Myrtle St, Beacon Hill, MA 02114",-71.067712500001,42.359283000003,337,1,200,,2026-06-04T17:52:53.777Z
annapolis street,bakersfield street,Annapolis St,Bakersfield St,Annapolis St and Bakersfield St,ok,1,"Annapolis St & Bakersfield St, Dorchester, MA 02125",-71.060904000001,42.317190000003,357,1,200,,2026-06-04T17:52:55.000Z
annapolis street,sumner street,Annapolis St,Sumner St,Annapolis St and Sumner St,ok,1,"Annapolis St & Sumner St, Dorchester, MA 02125",-71.062114500001,42.317469000003,319,1,200,,2026-06-04T17:52:56.162Z
anson street,south street,Anson St,South St,Anson St and South St,ok,1,"Anson St & South St, Jamaica Plain, MA 02130",-71.114584500001,42.303033000003,372,1,200,,2026-06-04T17:52:57.417Z
"anthony ""rip"" valenti way",canal street,"Anthony ""Rip"" Valenti Way",Canal St,"Anthony ""Rip"" Valenti Way and Canal St",ok,1,"Anthony Rip Valenti Way & Canal St, West End, MA 02114",-71.059878000001,42.364350000003,335,1,200,,2026-06-04T17:52:58.579Z
"anthony ""rip"" valenti way",merrimac street,"Anthony ""Rip"" Valenti Way",Merrimac St,"Anthony ""Rip"" Valenti Way and Merrimac St",ok,1,"Anthony Rip Valenti Way & Merrimac St, West End, MA 02114",-71.061327000001,42.363387000003,339,1,200,,2026-06-04T17:52:59.786Z
appleton street,tremont street,Appleton St,Tremont St,Appleton St and Tremont St,ok,1,"Appleton St & Tremont St, South End, MA 02116",-71.069116500001,42.346548000003,337,1,200,,2026-06-04T17:53:00.984Z
appleton street,west canton street,Appleton St,West Canton St,Appleton St and West Canton St,ok,1,"Appleton St & W Canton St, South End, MA 02116",-71.076330000001,42.344676000003,323,1,200,,2026-06-04T17:53:02.171Z
arborcrest terrace,gladeside avenue,Arborcrest Ter,Gladeside Ave,Arborcrest Ter and Gladeside Ave,ok,1,"Arborcrest Ter & Gladeside Ave, Mattapan, MA 02126",-71.087067000001,42.272865000003,385,1,200,,2026-06-04T17:53:03.434Z
arborcrest terrace,ridgeview avenue,Arborcrest Ter,Ridgeview Ave,Arborcrest Ter and Ridgeview Ave,ok,1,"Arborcrest Ter & Ridgeview Ave, Mattapan, MA 02126",-71.085550500001,42.272145000003,332,1,200,,2026-06-04T17:53:04.582Z
arboretum road,washington street,Arboretum Rd,Washington St,Arboretum Rd and Washington St,ok,1,"Arboretum Rd & Washington St, Roslindale, MA 02131",-71.118783000001,42.295239000003,309,1,200,,2026-06-04T17:53:05.761Z
arborway,centre street,Arborway,Centre St,Arborway and Centre St,ok,5,"Arborway & Centre St, Jamaica Plain, MA 02130",-71.122041000001,42.309189000003,475,1,200,,2026-06-04T17:53:07.129Z
arborway,jamaicaway,Arborway,Jamaicaway,Arborway and Jamaicaway,ok,2,"Arborway & Jamaicaway, Jamaica Plain, MA 02130",-71.122248000001,42.313338000003,320,1,200,,2026-06-04T17:53:08.175Z
arbutus street,blue hill avenue,Arbutus St,Blue Hill Ave,Arbutus St and Blue Hill Ave,ok,1,"Arbutus St & Blue Hill Ave, Dorchester, MA 02124",-71.090167500001,42.287841000003,325,1,200,,2026-06-04T17:53:09.381Z
arbutus street,irma street,Arbutus St,Irma St,Arbutus St and Irma St,ok,1,"Arbutus St & Irma St, Dorchester, MA 02124",-71.087445000001,42.287346000003,343,1,200,,2026-06-04T17:53:10.599Z
arcadia park,ditson street,Arcadia Park,Ditson St,Arcadia Park and Ditson St,ok,1,"Arcadia Park & Ditson St, Dorchester, MA 02122",-71.063788500001,42.300882000003,286,1,200,,2026-06-04T17:53:11.742Z
arcadia park,draper street,Arcadia Park,Draper St,Arcadia Park and Draper St,ok,1,"Arcadia Park & Draper St, Dorchester, MA 02122",-71.062879500001,42.301440000003,396,1,200,,2026-06-04T17:53:13.053Z
arcadia street,adams street,Arcadia St,Adams St,Arcadia St and Adams St,ok,1,"Arcadia St & Adams St, Dorchester, MA 02122",-71.060152500001,42.302160000003,280,1,200,,2026-06-04T17:53:14.139Z
arcadia street,atherton street,Arcadia St,Atherton St,Arcadia St and Atherton St,ok,1,"Arcadia St & Atherton St, Jamaica Plain, MA 02119",-71.099622000001,42.316686000003,329,1,200,,2026-06-04T17:53:15.389Z
arcadia street,draper street,Arcadia St,Draper St,Arcadia St and Draper St,ok,1,"Arcadia St & Draper St, Dorchester, MA 02122",-71.063059500001,42.301413000003,498,1,200,,2026-06-04T17:53:16.758Z
arcadia street,school street,Arcadia St,School St,Arcadia St and School St,ok,1,"Arcadia St & School St, Jamaica Plain, MA 02130",-71.100819000001,42.316020000003,284,1,200,,2026-06-04T17:53:17.746Z
arcadia terrace,arcadia street,Arcadia Ter,Arcadia St,Arcadia Ter and Arcadia St,ok,1,"Arcadia Ter & Arcadia St, Dorchester, MA 02122",-71.061570000001,42.301764000003,348,1,200,,2026-06-04T17:53:19.011Z
arch street,milk street,Arch St,Milk St,Arch St and Milk St,ok,1,"Arch St & Milk St, Downtown, MA 02109",-71.057812500001,42.356745000003,288,1,200,,2026-06-04T17:53:20.154Z
arch street,summer street,Arch St,Summer St,Arch St and Summer St,ok,1,"Arch St & Summer St, Downtown, MA 02110",-71.059144500001,42.354495000003,401,1,200,,2026-06-04T17:53:21.466Z
archdale road,south street,Archdale Rd,South St,Archdale Rd and South St,ok,1,"Archdale Rd & South St, Jamaica Plain, MA 02131",-71.122905000001,42.293628000003,410,1,200,,2026-06-04T17:53:22.678Z
archdale road,washington street,Archdale Rd,Washington St,Archdale Rd and Washington St,ok,1,"Archdale Rd & Washington St, Roslindale, MA 02131",-71.121388500001,42.292782000003,524,1,200,,2026-06-04T17:53:23.994Z
arcola street,day street,Arcola St,Day St,Arcola St and Day St,ok,1,"Arcola St & Day St, Jamaica Plain, MA 02130",-71.108356500001,42.324435000003,332,1,200,,2026-06-04T17:53:25.003Z
ardee street,everett street,Ardee St,Everett St,Ardee St and Everett St,ok,1,"Ardee St & Everett St, East Boston, MA 02128",-71.030695500001,42.365763000003,375,1,200,,2026-06-04T17:53:26.247Z
ardee street,maverick street,Ardee St,Maverick St,Ardee St and Maverick St,ok,1,"Ardee St & Maverick St, East Boston, MA 02128",-71.030232000001,42.366357000003,390,1,200,,2026-06-04T17:53:27.465Z
arion st',columbia road,Arion St',Columbia Road,Arion St' and Columbia Road,ok,1,"Arion St & Columbia Rd, Dorchester, MA 02125",-71.066142000001,42.316191000003,334,1,200,,2026-06-04T17:53:28.610Z
arion st',davern street,Arion St',Davern Street,Arion St' and Davern Street,ok,1,"Arion St & Davern Ave, Dorchester, MA 02125",-71.067253500001,42.315939000003,350,1,200,,2026-06-04T17:53:29.828Z
arion street,columbia road,Arion St,Columbia Road,Arion St and Columbia Road,ok,1,"Arion St & Columbia Rd, Dorchester, MA 02125",-71.066142000001,42.316191000003,365,1,200,,2026-06-04T17:53:31.043Z
arion street,davern street,Arion St,Davern Street,Arion St and Davern Street,ok,1,"Arion St & Davern Ave, Dorchester, MA 02125",-71.067253500001,42.315939000003,325,1,200,,2026-06-04T17:53:32.204Z
arklow street,round hill street,Arklow St,Round Hill St,Arklow St and Round Hill St,ok,1,"Arklow St & Round Hill St, Jamaica Plain, MA 02130",-71.104932000001,42.324426000003,333,1,200,,2026-06-04T17:53:33.414Z
arklow street,walden street,Arklow St,Walden St,Arklow St and Walden St,ok,1,"Arklow St & Walden St, Jamaica Plain, MA 02130",-71.104189500001,42.324552000003,380,1,200,,2026-06-04T17:53:34.660Z
arlington avenue,alford street,Arlington Ave,Alford St,Arlington Ave and Alford St,ok,1,"Arlington Ave & Alford St, Charlestown, MA 02129",-71.073099000001,42.386265000003,307,1,200,,2026-06-04T17:53:35.788Z
arlington avenue,somerville town line,Arlington Ave,Somerville Town Line,Arlington Ave and Somerville Town Line,no_match,0,,,,162,1,200,,2026-06-04T17:53:36.845Z
arlington street,beacon street,Arlington St,Beacon St,Arlington St and Beacon St,ok,1,"Arlington St & Beacon St, Back Bay, MA 02116",-71.072617500001,42.355413000003,308,1,200,,2026-06-04T17:53:38.192Z
arlington street,columbus avenue,Arlington St,Columbus Ave,Arlington St and Columbus Ave,ok,1,"Arlington St & Columbus Ave, Back Bay, MA 02116",-71.069899500001,42.350157000003,266,1,200,,2026-06-04T17:53:39.351Z
arlington street,faneuil street,Arlington St,Faneuil St,Arlington St and Faneuil St,ok,1,"Arlington St & Faneuil St, Brighton, MA 02135",-71.160034500001,42.352749000003,18746,2,200,,2026-06-04T17:54:01.033Z
arlington street,market street,Arlington St,Market St,Arlington St and Market St,ok,1,"Arlington St & Market St, Brighton, MA 02135",-71.151930000001,42.351651000003,412,1,200,,2026-06-04T17:54:01.447Z
arlington street,south hobbart street,Arlington St,South Hobbart St,Arlington St and South Hobbart St,ok,1,"Arlington St & S Hobart St, Brighton, MA 02135",-71.158072500001,42.352659000003,359,1,200,,2026-06-04T17:54:02.596Z
arlington street,tremont street,Arlington St,Tremont St,Arlington St and Tremont St,ok,1,"Arlington St & Tremont St, South End, MA 02118",-71.068599000001,42.347502000003,330,1,200,,2026-06-04T17:54:03.767Z
armandine street,milton avenue,Armandine St,Milton Ave,Armandine St and Milton Ave,ok,1,"Armandine St & Milton Ave, Dorchester, MA 02124",-71.076663000001,42.283800000003,914,1,200,,2026-06-04T17:54:05.553Z
armandine street,washington street,Armandine St,Washington St,Armandine St and Washington St,ok,1,"Armandine St & Washington St, Dorchester, MA 02124",-71.071533000001,42.284520000003,374,1,200,,2026-06-04T17:54:06.212Z
armington street,imrie road,Armington St,Imrie Rd,Armington St and Imrie Rd,ok,1,"Armington St & Imrie Rd, Allston, MA 02134",-71.138709000001,42.352290000003,375,1,200,,2026-06-04T17:54:07.414Z
armington street,islington street,Armington St,Islington St,Armington St and Islington St,ok,1,"Armington St & Islington St, Allston, MA 02134",-71.136634500001,42.352659000003,307,1,200,,2026-06-04T17:54:08.546Z
armory street,main street,Armory St,Main St,Armory St and Main St,ok,1,"Armory St & Main St, Charlestown, MA 02129",-71.070673500001,42.381018000003,339,1,200,,2026-06-04T17:54:09.780Z
armstrong street,chestnut avenue,Armstrong St,Chestnut Ave,Armstrong St and Chestnut Ave,ok,1,"Armstrong St & Chestnut Ave, Jamaica Plain, MA 02130",-71.102700000001,42.321222000003,320,1,200,,2026-06-04T17:54:10.962Z
armstrong street,mozart street,Armstrong St,Mozart St,Armstrong St and Mozart St,ok,1,"Armstrong St & Mozart St, Jamaica Plain, MA 02130",-71.104698000001,42.321204000003,527,1,200,,2026-06-04T17:54:12.370Z
arundel street,beacon street,Arundel St,Beacon St,Arundel St and Beacon St,ok,1,"Arundel St & Beacon St, Fenway, MA 02215",-71.103339000001,42.347169000003,507,1,200,,2026-06-04T17:54:13.551Z
arundel street,mountfort street,Arundel St,Mountfort St,Arundel St and Mountfort St,ok,1,"Arundel St & Mountfort St, Fenway, MA 02215",-71.103753000001,42.347997000003,338,1,200,,2026-06-04T17:54:14.582Z
ashburton place,bowdoin street,Ashburton Pl,Bowdoin St,Ashburton Pl and Bowdoin St,ok,2,"Ashburton Pl & Bowdoin St, Beacon Hill, MA 02108",-71.062888500001,42.359040000003,654,1,200,,2026-06-04T17:54:16.099Z
ashburton place,somerset street,Ashburton Pl,Somerset St,Ashburton Pl and Somerset St,ok,1,"Ashburton Pl & Somerset St, Downtown, MA 02108",-71.061561000001,42.359184000003,353,1,200,,2026-06-04T17:54:16.998Z
ashcroft street,moraine street,Ashcroft St,Moraine St,Ashcroft St and Moraine St,ok,1,"Ashcroft St & Moraine St, Jamaica Plain, MA 02130",-71.113954500001,42.319818000003,556,1,200,,2026-06-04T17:54:18.402Z
ashcroft street,perkins street,Ashcroft St,Perkins St,Ashcroft St and Perkins St,ok,1,"Ashcroft St & Perkins St, Jamaica Plain, MA 02130",-71.114175000001,42.321285000003,342,1,200,,2026-06-04T17:54:19.387Z
ashford street,babcock street,Ashford St,Babcock St,Ashford St and Babcock St,ok,1,"Ashford St & Babcock St, Allston, MA 02215",-71.120866500001,42.353829000003,511,1,200,,2026-06-04T17:54:20.758Z
ashford street,linden street,Ashford St,Linden St,Ashford St and Linden St,ok,1,"Ashford St & Linden St, Allston, MA 02134",-71.130222000001,42.354153000003,402,1,200,,2026-06-04T17:54:21.850Z
ashley street,armstrong street,Ashley St,Armstrong St,Ashley St and Armstrong St,ok,1,"Ashley St & Armstrong St, Jamaica Plain, MA 02130",-71.103969000001,42.321267000003,347,1,200,,2026-06-04T17:54:22.996Z
ashley street,chestnut avenue,Ashley St,Chestnut Ave,Ashley St and Chestnut Ave,ok,1,"Ashley St & Chestnut Ave, Jamaica Plain, MA 02130",-71.103375000001,42.320448000003,579,1,200,,2026-06-04T17:54:24.428Z
ashmont park,ashmont street,Ashmont Park,Ashmont St,Ashmont Park and Ashmont St,ok,1,"Ashmont Park & Ashmont St, Dorchester, MA 02124",-71.063136000001,42.286104000003,300,1,200,,2026-06-04T17:54:25.351Z
